  x (normalized)   y (normalized)    zenith (um)   horizon (um)      z-grad (um)    r-grad (um)
  -9.0506443e-01   3.8027917e-02  -8.9950557e-03  -2.6026187e-04   6.0515944e-02  -1.1880020e-02
  -9.0506443e-01   5.3239084e-02  -3.7089127e-03   2.3570790e-05   6.0845109e-02  -1.1937706e-02
  -9.0506443e-01   6.8450250e-02   2.1712530e-03   5.9364627e-04   6.1276444e-02  -1.2012076e-02
  -9.0506443e-01   8.3661415e-02   5.5389078e-03   1.2396641e-03   6.1897588e-02  -1.2116919e-02
  -9.0506443e-01   9.8872585e-02   6.1522115e-03   1.9127275e-03   6.2707213e-02  -1.2251987e-02
  -9.0506443e-01   1.1408375e-01   4.5805413e-03   2.7330402e-03   6.3663208e-02  -1.2411748e-02
  -9.0506443e-01   1.2929492e-01   5.8949629e-04   3.7862663e-03   6.4749933e-02  -1.2594119e-02
  -9.0506443e-01   1.4450609e-01  -5.7005761e-03   5.0981964e-03   6.5960518e-02  -1.2796710e-02
  -9.0506443e-01   1.5971725e-01  -1.1888423e-02   6.3479749e-03   6.7262823e-02  -1.3010520e-02
  -9.0506443e-01   1.7492842e-01  -1.7909883e-02   7.7553639e-03   6.8614847e-02  -1.3218217e-02
  -9.0506443e-01   1.9013959e-01  -2.0977946e-02   8.5580980e-03   7.0148172e-02  -1.3469452e-02
  -9.0506443e-01   2.0535075e-01  -1.8980484e-02   7.7196511e-03   7.1816407e-02  -1.3751212e-02
  -9.0506443e-01   2.2056192e-01  -1.2850364e-02   5.5054674e-03   7.3612552e-02  -1.4050417e-02
  -9.0506443e-01   2.3577309e-01  -4.7367986e-03   3.2028347e-03   7.5526347e-02  -1.4361922e-02
  -9.0506443e-01   2.5098425e-01   1.8357852e-03   2.6942601e-03   7.7547731e-02  -1.4686776e-02
  -9.0506443e-01   2.6619542e-01   8.0884980e-03   3.9125562e-03   7.9724376e-02  -1.5035751e-02
  -9.0506443e-01   2.8140659e-01   1.2598585e-02   7.6934092e-03   8.2067541e-02  -1.5408215e-02
  -9.0506443e-01   2.9661775e-01   1.4360297e-02   1.4718323e-02   8.4572796e-02  -1.5802661e-02
  -9.0506443e-01   3.1182892e-01   1.4403320e-02   2.4471785e-02   8.7063161e-02  -1.6194427e-02
  -9.0506443e-01   3.2704009e-01   1.3966732e-02   3.7829733e-02   8.9680475e-02  -1.6601557e-02
  -8.8985324e-01  -3.7267359e-01   3.1126189e-03  -7.8427997e-02   9.1085504e-02  -1.6824237e-02
  -8.8985324e-01  -3.5746242e-01   3.0805560e-03  -5.7374650e-02   8.7984779e-02  -1.6355995e-02
  -8.8985324e-01  -3.4225125e-01   5.3601440e-03  -3.9121851e-02   8.5022363e-02  -1.5901066e-02
  -8.8985324e-01  -3.2704009e-01   8.1253640e-03  -2.3714772e-02   8.2195638e-02  -1.5460978e-02
